iata_code,name,continent,iso_country,municipality
KZC,Kampong Chhnang Airport,AS,KH,Kampong Chhnang
KKZ,Kaoh Kong Airport,AS,KH,Kaoh Kong
KTI,Kratie Airport,AS,KH,Kratie
MWV,Mondulkiri Airport,AS,KH,Sen Monorom
PNH,Phnom Penh International Airport,AS,KH,Phnom Penh
RBE,Ratanakiri Airport,AS,KH,Ratanakiri
REP,Siem Reap International Airport,AS,KH,Siem Reap
TNX,Stung Treng Airport,AS,KH,Stung Treng
KOS,Sihanoukville International Airport,AS,KH,Sihanukville
KZD,Krakor Airport,AS,KH,Krakor
ELX,Isla de Tigre  Heliport,SA,VE,Isla de Tigre
LGY,Lagunillas Airport,SA,VE,Lagunillas
ZRZ,Zaraza Airport,SA,VE,Zaraza
KTV,Kamarata Airport,SA,VE,Kamarata
LAG,La Guaira Airport,SA,VE,La Guaira
SFX,Macagua Airport,SA,VE,Ciudad Guayana
SVV,San Salvador de Paul Airport,SA,VE,San Salvador de Paul
WOK,Wonken Airport,SA,VE,Wonken
IXV,Along Airport,AS,IN,
IXA,Agartala Airport,AS,IN,Agartala
IXB,Bagdogra Airport,AS,IN,Siliguri
RGH,Balurghat Airport,AS,IN,Balurghat
